dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
mos2L6n4ball,mos2_film,Mo+S,2026-08-09,2,18,3,1,date+clamp,4001,16.0,window,0.01,0.0,0.0,75.0,,,,1,yes,incomplete,,0.0,0.1634,,,,superseded,gband=1
mos2L6n4scba,mos2_film,Mo+S,2026-08-09,2,18,3,1,date+clamp,4001,16.0,window,0.01,0.0,0.0,75.0,,,,1,,crash+oom,,,0.0828,,phonon/studies/_memory_model.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=1;crash;oom
mos2_film_reap,mos2_film,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.008,,phonon/scripts/figures/r1_interlayer_modes.py;phonon/studies/_interlayer_modes.py;phonon/studies/_mos2_film_reap.py;phonon/studies/engine/build_inputs.py,phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,no-solver-log
mos2_film_reap_ls,mos2_film,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0107,,phonon/scripts/figures/r1_interlayer_modes.py;phonon/studies/_interlayer_modes.py,phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,no-solver-log
mos2f10b,mos2_film,Mo+S,2026-08-03,10,6,1,1,env,262,16.0,file,0.02,0.0,0.0,10.0,,,,2,yes,ballistic+crash+oom,,0.0,3.5101,,phonon/scripts/figures/_extract_film_kappa.py,,keep-referenced,gband=1;cells_per_block=1;h6-cutoff=10;crash;oom
mos2f16b,mos2_film,Mo+S,2026-08-03,16,6,1,1,env,262,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,ballistic,,0.0,5.8125,,phonon/scripts/figures/_extract_film_kappa.py,,keep-referenced,gband=1;cells_per_block=1;h6-cutoff=10
mos2f2aux,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,15001,16.0,window,0.02,0.0,0.0,30.0,,,,1,,incomplete,7,0.51248,0.2104,,,,superseded,gband=1;cells_per_block=1
mos2f2c12,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,12.0,,,,1,,incomplete,3,120800000.0,0.2103,,,phonon/docs/run_audit_2026-08.md,superseded,gband=1;cells_per_block=1;h6-cutoff=12
mos2f2c15,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,15.0,,,,1,,incomplete,3,89760000.0,0.2103,,,,superseded,gband=1;cells_per_block=1;h6-cutoff=15
mos2f2c20,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,20.0,,,,1,,incomplete,3,6850000.0,0.2103,,,,superseded,gband=1;cells_per_block=1;h6-cutoff=20
mos2f2c21,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,21.0,,,,1,,incomplete,3,4476000.0,0.2103,,,,superseded,gband=1;cells_per_block=1;h6-cutoff=21
mos2f2c22,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,22.0,,,,1,,incomplete,7,0.33727,0.2104,,,phonon/docs/grid_audit.md,superseded,gband=1;cells_per_block=1
mos2f2c25,mos2_film,Mo+S,2026-08-08,2,6,1,,unknown,15001,16.0,window,0.0,0.0,0.0,25.0,,,,,,no-log,,,0.0,,,,analysis-only,no-solver-log
mos2f2dense,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,30.0,,,,2,,crash+oom,7,0.33727,0.3199,,phonon/studies/_memory_model.py,phonon/docs/grid_audit.md;phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,gband=1;cells_per_block=1;crash;oom
mos2f2mask,mos2_film,Mo+S,2026-08-08,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,3,30500000.0,0.2103,,,,superseded,gband=1;cells_per_block=1;h6-cutoff=10
mos2f3,mos2_film,Mo+S,2026-08-02,3,6,1,2,date+clamp,121,16.0,window,0.0,0.0,0.0,10.0,,,,7,,converged+crash,2,2.9886,0.1804,,phonon/scripts/figures/_extract_mos2_spiral.py;phonon/scripts/figures/gpu_campaign_figs.py;phonon/studies/_bubble_positivity.py;phonon/studies/_lead_balance_gain.py;phonon/studies/_mos2_dispersion_audit.py;phonon/studies/engine/reblock_device.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/bubble_positivity.md;phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/report_removed.md;phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;crash
mos2f3-abl-lm15,mos2_film,Mo+S,2026-08-04,3,6,1,2,date+clamp,121,16.0,window,0.0,0.0,0.0,10.0,1.5,,,1,,incomplete,360,90910.0,0.5492,,phonon/scripts/figures/_extract_mos2_spiral.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3-ablcoarse,mos2_film,Mo+S,2026-08-04,3,6,1,2,date+clamp,121,16.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,46,1047.0,0.2754,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3-asr,mos2_film,Mo+S,2026-08-04,3,,,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,,,1,,crash+timeout,25,1.0,0.8184,,phonon/scripts/figures/_extract_mos2_spiral.py;phonon/studies/_asr_project_film_job.sh,,keep-referenced,gband=2;cells_per_block=unknown;h6-cutoff=10;crash;timeout
mos2f3-aux13,mos2_film,Mo+S,2026-08-03,3,6,1,2,date+clamp,264,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,35,5388.0,1.1954,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3-b1cont,mos2_film,Mo+S,2026-08-03,3,6,1,1,env,121,16.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,64,200800.0,0.1878,,,,superseded,gband=1;cells_per_block=1;h6-cutoff=10
mos2f3-b2cont,mos2_film,Mo+S,2026-08-03,3,6,1,2,env,121,16.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,65,614500.0,0.2755,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3-bbcheck,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,3,6495.0,0.0419,,,phonon/docs/mos2_conservation_audit.md,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10
mos2f3-bbcheck-lm15,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,incomplete,5,0.54548,0.0419,,,phonon/docs/mos2_conservation_audit.md,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10
