dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
cnt33_fcq/fc_quality,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0007,0.0,,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,analysis-only,no-solver-log
cnt33_fcq/physical,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,analysis-only,no-solver-log
cnt33_tempsweep/checkpoints,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0003,0.0,slides/plot_cnt_prod.py,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
cnt33_tempsweep/plots,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0004,0.0,slides/plot_cnt_prod.py,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
cnt33_transport/checkpoints,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,no-log-outputs,no-solver-log
cnt80_ballistic/checkpoints,cnt80,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,phonon/docs/lab_notebook_archive.md,no-log-outputs,no-solver-log
cnt80_ballistic/plots,cnt80,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0004,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
cnt80_fcq/fc_quality,cnt80,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0007,0.0,,,analysis-only,no-solver-log
cnt80_fcq/physical,cnt80,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
cnt80_transport/checkpoints,cnt80,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,slides/plot_cnt_prod.py,phonon/docs/lab_notebook_archive.md,keep-referenced,no-solver-log
cnt8x2,cnt33,C,2026-08-27,4,24,2,,unknown,161,55.0,window,0.0,0.0,0.0,10.0,,,,,,no-log,,,0.1226,0.0,,,no-log-inputs,no-solver-log
cnt_cal/out,cnt33,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/studies/_bubble_positivity.py;phonon/studies/_mixed_structure_review.py;phonon/studies/_spatial_bed.py,phonon/docs/attic/spatial_band_range.md;phonon/docs/attic/spatial_truncation_derivation.md;phonon/docs/spatial_representation.md,keep-referenced,no-solver-log
cntfc3-r128-r2,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cntfc3-r256-r2,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cntfc3-r64-r2,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cons-L4,cnt33,,2026-07-20,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cvM2,mos2_film,,2026-08-15,,6,1,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
cvM2b/out,mos2_film,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,no-solver-log
cvM4e,mos2_film,Mo+S,2026-08-15,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,converged,38,9.1636e-06,0.0001,0.0,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,gband=1
cvM6b,mos2_film,Mo+S,2026-08-15,2,18,3,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,72.0,,,,1,,converged,52,9.452e-06,0.0002,0.0,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/report_removed.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,gband=1
d11a_luisier_div4/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d11a_physical_eta,sinw,,2026-06-11,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
d11a_transport_anh/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d11a_transport_proj/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5_cutoff/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,,no-log-outputs,no-solver-log
d5_cutoff/plots,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0008,0.0,,,analysis-only,no-solver-log
d5_full/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0002,0.0,,,no-log-outputs,no-solver-log
d5_full/plots,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0019,0.0,,,analysis-only,no-solver-log
d5_full_anderson/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_full_anderson_nodiv/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5_full_conv/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_full_conv/plots,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0007,0.0,,,analysis-only,no-solver-log
d5_full_conv_eta3/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_full_conv_eta3/plots,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0007,0.0,,,analysis-only,no-solver-log
d5_full_deep/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0002,0.0,,,no-log-outputs,no-solver-log
d5_full_larger/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_full_test/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5_lambda_diag_d11/eta_sweep,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,,no-log-outputs,no-solver-log
d5a_cutoff_proj/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5a_length_proj/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5a_loa_pade,sinw,,2026-06-11,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,no-log-outputs,no-solver-log
d5a_luisier_div4/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5a_physical_eta,sinw,,2026-06-11,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
d5a_smalleta_verify,sinw,,,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5a_tempsweep/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0002,0.0,phonon/studies/_tchain_d5a.sh,phonon/docs/lab_notebook_archive.md,keep-referenced,no-solver-log
d5a_transport_proj/checkpoints,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,no-log-outputs,no-solver-log
d5a_transport_proj/plots,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0004,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
eta0-L3/ball,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,,1,yes,ballistic,,0.0,0.0029,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown
eta0-L3/dense,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,19.8,1,,converged,60,0.0008917,0.0034,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown;extent-truncated=19.8%
eta0-L3/r16,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,24.1,1,,incomplete,449,2.8085e-07,0.0061,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown;extent-truncated=24.1%
eta0-L3/r32,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,19.8,1,,converged,67,0.00076287,0.0034,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown;extent-truncated=19.8%
eta0-L3/r64,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,19.9,1,,converged,61,0.00074577,0.0034,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown;extent-truncated=19.9%
eta0-L3/r8,si_film,Si,2026-07-13,3,,,1,date,121,15.0,,,1e-12,0.0,10.0,,,27.5,1,,incomplete,449,6.6335e-07,0.0061,0.0,phonon/scripts/figures/decomposed_sse_conservation.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown;extent-truncated=27.5%
eta_lambda_diag/eta_sweep,unknown,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,phonon/docs/lab_notebook_archive.md,no-log-outputs,no-solver-log
eta_lambda_diag/lambda_sweep,unknown,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,phonon/docs/lab_notebook_archive.md,no-log-outputs,no-solver-log
fc_compare,unknown,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
fcq_d5a/fc_quality,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0006,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
fcq_d5a/physical,sinw,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
fcsweep/mos2,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
gbandG3,cnt33,,2026-07-24,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
gbandL10,cnt33,,2026-07-21,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
gbandL8,cnt33,,2026-07-21,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
gbandTaper,cnt33,,2026-07-22,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
jp-l4-stall,cnt33,,2026-07-16,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,phonon/docs/observations_2026-08-15.md,analysis-only,no-solver-log
l16f-g1t,cnt33,C,2026-07-31,16,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,66,0.0009901,0.0016,0.0,phonon/scripts/figures/_extract_gband_ladder.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l16f-g1t-361,cnt33,,2026-08-03,,,,1,name,,,,,,,,,,,,,no-log,,,0.0032,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
l16f-g3,cnt33,C,2026-07-31,16,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,97,0.00096263,0.0016,0.0,phonon/scripts/figures/_extract_gband_ladder.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l16f-g3-361,cnt33,,2026-08-03,,,,3,name,,,,,,,,,,,,,no-log,,,0.0033,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
l24f-g1t,cnt33,C,2026-07-31,24,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,70,0.00098296,0.0023,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l24f-g3,cnt33,C,2026-07-31,24,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,96,0.00099703,0.0024,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l32f-g1t,cnt33,C,2026-07-31,32,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,70,0.00098695,0.003,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l32f-g3,cnt33,C,2026-07-31,32,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,176,0.00024494,0.0033,0.0,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l4gpu/out,cnt33,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/studies/_bubble_positivity.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/attic/spatial_truncation_derivation.md;phonon/docs/pole_scba_implemented.md;phonon/docs/pole_sector_roadmap.md;phonon/docs/spatial_representation.md,keep-referenced,no-solver-log
longg3,cnt33,,2026-07-30,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
lsM2/out,mos2_film,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/sse_memory_scaling.md;phonon/docs/untested_paths.md,analysis-only,no-solver-log
lsM2f,mos2_film,Mo+S,2026-08-16,2,,,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,30.0,,,,1,,converged,2,0.00048135,0.0,0.0,phonon/scripts/figures/r6_mos2_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=unknown
lsM4,mos2_film,Mo+S,2026-08-15,2,12,2,,unknown,15001,24.0,window,0.0,0.0,0.0,48.0,,,,,,no-log,,,0.007,0.0,,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/production_beds.md;phonon/docs/report_rerun_backlog.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,no-log-inputs,no-solver-log
lsM4c,mos2_film,Mo+S,2026-08-16,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,timeout,32,0.087822,0.0001,0.0,src/quatrex/core/scba.py,phonon/docs/untested_paths.md,keep-referenced,gband=1;timeout
lsM4f,mos2_film,Mo+S,2026-08-16,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,incomplete,5,0.0030001,0.0,0.0,phonon/scripts/figures/r6_mos2_ladder.py,phonon/docs/mos2_cross_gap_reality_check.md,keep-referenced,gband=1
lsM4w,mos2_film,Mo+S,2026-08-16,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,timeout,32,0.0084156,0.0001,0.0,src/quatrex/core/scba.py,,keep-referenced,gband=1;timeout
mix-l4v2,cnt33,,2026-07-16,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
