eps,fc2_nnz,fc2_total,fc2_density,fc3_nnz,fc3_total,fc3_density
1e-02,2206,15876,1.389519e-01,24236,2000376,1.211572e-02
1e-03,4230,15876,2.664399e-01,27884,2000376,1.393938e-02
1e-04,6598,15876,4.155959e-01,28124,2000376,1.405936e-02
1e-05,7110,15876,4.478458e-01,28124,2000376,1.405936e-02
