eps,fc2_nnz,fc2_total,fc2_density,fc3_nnz,fc3_total,fc3_density
1e-02,3452,63504,5.435878e-02,36600,16003008,2.287070e-03
1e-03,8748,63504,1.377551e-01,43496,16003008,2.717989e-03
1e-04,13644,63504,2.148526e-01,45704,16003008,2.855963e-03
1e-05,14252,63504,2.244268e-01,45896,16003008,2.867961e-03
