eps,fc2_nnz,fc2_total,fc2_density,fc3_nnz,fc3_total,fc3_density
1e-02,6022,15876,3.793147e-01,87284,2000376,4.363380e-02
1e-03,6774,15876,4.266818e-01,99620,2000376,4.980064e-02
1e-04,6998,15876,4.407911e-01,100868,2000376,5.042452e-02
1e-05,7030,15876,4.428068e-01,101060,2000376,5.052050e-02
