block_distance,count,sum_frob_lesser,max_frob_lesser,frac_total_lesser,sum_frob_greater,max_frob_greater,frac_total_greater
0,15,1.649245e+08,2.493030e+07,5.036186e-01,1.649245e+08,2.493030e+07,5.036186e-01
1,28,5.115240e+07,3.165256e+06,1.562005e-01,5.115240e+07,3.165256e+06,1.562005e-01
2,26,3.659737e+07,6.233261e+06,1.117549e-01,3.659737e+07,6.233261e+06,1.117549e-01
3,24,6.698314e+07,9.637527e+06,2.045418e-01,6.698314e+07,9.637527e+06,2.045418e-01
4,22,7.821596e+06,1.273509e+06,2.388426e-02,7.821596e+06,1.273509e+06,2.388426e-02
