num_blocks,N,t_rgf,t_dense,speedup,rgf_vs_dense_maxerr
2,384,0.011992931365966797,0.01092839241027832,0.9112361337521371,6.148353376712328e-15
4,768,0.0177004337310791,0.04810023307800293,2.7174607023073505,2.0857602946000314e-14
8,1536,0.03771376609802246,0.22882914543151855,6.067523058735768,1.8450006086681956e-14
16,3072,0.07113170623779297,1.3753437995910645,19.335172349068873,1.82173018046303e-14
24,4608,0.11816692352294922,4.006781339645386,33.907807872033054,6.841893495177036e-13
32,6144,0.1579294204711914,9.08267593383789,57.51098121388156,1.509911191156946e-13
