sigma_cutoff,vertex_cutoff,g_cutoff,dc_handling,G_ball,G_anh,conservation,n_scba_iter,scba_converged,scba_residual,wall_s
Inf,Inf,Inf,interpolate,637551168.8355138,458162226.43627083,0.04855349940229053,300,False,1.6832251407335817e-05,22658.25222325325
Inf,Inf,0,interpolate,637551168.8355138,373539874.80417466,0.04279696969936786,162,False,0.04996265680518356,3782.9287350177765
Inf,0,Inf,interpolate,637551168.8355138,431936000.9437118,0.0003277213407938602,99,False,0.11366169522488657,1315.2582232952118
Inf,0,0,interpolate,637551168.8355138,442141808.0124066,0.002373584073384524,110,False,0.18773905937738616,1156.4541656970978
0,Inf,Inf,interpolate,637551168.8355138,423667370.5107868,0.008918939747272871,93,False,0.05319091537477789,3741.1394941806793
0,Inf,0,interpolate,637551168.8355138,370822595.5790804,0.03036864673369649,300,False,0.007126849360647881,4902.671978712082
0,0,Inf,interpolate,637551168.8355138,442141808.0124066,0.002373584073384524,110,False,0.18773905937738616,1155.3723599910736
0,0,0,interpolate,637551168.8355138,442141808.0124066,0.002373584073384524,110,False,0.18773905937738616,1141.0971267223358
