tag,system,sweep,t_mean,n_slabs,G_ball_W_per_m2_K,G_anh_W_per_m2_K,G_anh,ratio,anh_converged,anh_n_iter,lead_conservation,best_cons,eta_dip,A_c,dw_THz
T30,cnt33,temperature,30,2,53653423.42533288,40233289.3805551,40233289.3805551,0.7498736671770071,True,43,4.063429676142971e-07,1.904202596217151e-07,0.0002635432418330052,1.96e-18,0.3055555555555556
T50,cnt33,temperature,50,2,93155023.33936396,73208131.79408653,73208131.79408653,0.7858742252405342,True,38,3.2982893558309334e-07,3.2979611256880203e-07,0.000298216002181064,1.96e-18,0.3055555555555556
T100,cnt33,temperature,100,2,215852008.17596927,174090513.51395777,174090513.51395777,0.8065271895549555,True,36,8.083742497915486e-06,8.086533022443434e-06,0.0010517792331148172,1.96e-18,0.3055555555555556
T150,cnt33,temperature,150,2,367312844.52208245,287363350.8206488,287363350.8206488,0.7823395100559105,True,46,8.366434006396306e-06,8.377754193115427e-06,0.004075899479569329,1.96e-18,0.3055555555555556
T200,cnt33,temperature,200,2,521058627.90246856,376388034.0676819,376388034.0676819,0.7223525605608703,True,195,9.867378483446353e-05,2.6537881205973253e-05,0.017252591668874627,1.96e-18,0.3055555555555556
T300,cnt33,temperature,300,2,802303525.693688,460493039.8427713,460493039.8427713,0.5739636248570883,True,220,7.40172846465376e-06,1.3063204800999794e-06,0.09609773940238232,1.96e-18,0.3055555555555556
L2,cnt33,length,300,2,802303525.693688,460493039.8427713,460493039.8427713,0.5739636248570883,True,220,7.40172846465376e-06,1.3063204800999794e-06,0.09609773940238232,1.96e-18,0.3055555555555556
L3,cnt33,length,300,3,802303525.6930547,405978972.6437167,405978972.6437167,0.5060166877529543,True,296,8.897416058326825e-06,1.9792323493921614e-08,0.08566283015535094,1.96e-18,0.3055555555555556
L4,cnt33,length,300,4,802303525.6924161,384412862.7696086,384412862.7696086,0.4791364495598431,False,450,0.00012654381070292646,4.0074165248305854e-06,0.08220627939690707,1.96e-18,0.3055555555555556
