tag,system,sweep,t_mean,n_slabs,G_ball_W_per_m2_K,G_anh_W_per_m2_K,G_anh,ratio,anh_converged,anh_n_iter,lead_conservation,best_cons,eta_dip,A_c,dw_THz
L2,cnt80,length,300,2,770990918.8937571,603912787.8012832,603912787.8012832,0.7832942943968743,True,37,4.142265315280092e-05,4.142234776631728e-05,0.00010496204874882203,2.89e-18,0.4166666666666667
L3,cnt80,length,300,3,770990918.8928635,,,,,,,,,2.89e-18,0.4166666666666667
