tag,system,sweep,t_mean,n_slabs,G_ball_W_per_m2_K,G_anh_W_per_m2_K,G_anh,ratio,anh_converged,anh_n_iter,lead_conservation,best_cons,eta_dip,A_c,dw_THz
L2,srtio3,length,300,2,3055504306.9102364,2225637143.718383,2225637143.718383,0.7284025549186591,True,45,1.1844399564147499e-05,7.374895489178467e-06,0.011382889373082903,1.5249024999999998e-19,0.21666666666666667
L3,srtio3,length,300,3,3055504306.903443,1916324671.0235534,1916324671.0235534,0.6271713205227406,True,46,0.00020275346081476334,2.3444271711538666e-05,0.017518690362608974,1.5249024999999998e-19,0.21666666666666667
T200,srtio3,temperature,200,2,2551027096.640368,1983079899.821386,1983079899.821386,0.7773652825691454,True,41,4.280265410705783e-05,3.9749248494697797e-07,0.006009237032187728,1.5249024999999998e-19,0.21666666666666667
T300,srtio3,temperature,300,2,3055504306.9102364,2225637143.718383,2225637143.718383,0.7284025549186591,True,45,1.1844399564147499e-05,7.374895489178467e-06,0.011382889373082903,1.5249024999999998e-19,0.21666666666666667
T600,srtio3,temperature,600,2,3546877869.9734254,2398199073.763974,2398199073.763974,0.6761436851452521,False,450,0.006557745781306104,6.168105283733144e-05,0.31697986368588565,1.5249024999999998e-19,0.21666666666666667
