eps,fc2_nnz,fc2_total,fc2_density,fc3_nnz,fc3_total,fc3_density
1e-02,2654,49284,5.385115e-02,40112,10941048,3.666194e-03
1e-03,2826,49284,5.734112e-02,43220,10941048,3.950261e-03
1e-04,2834,49284,5.750345e-02,43628,10941048,3.987552e-03
1e-05,2834,49284,5.750345e-02,43628,10941048,3.987552e-03
